id,codigo,nombre,zona,electoresNacionales,electoresExtranjeros,cantidadEscuelas,cantidadMesas,polygon
c52d596b-b33f-4757-9e6c-d3b046088fe8,1,CIRCUITO 1,POSADAS,13087,713,6,40,"{'type': 'Polygon', 'coordinates': [[[-55.8865524, -27.3620794], [-55.900457, -27.3606692], [-55.9022165, -27.3739322], [-55.8802868, -27.376295], [-55.880555, -27.3758186], [-55.8809734, -27.3756471], [-55.8802975, -27.3749707], [-55.8802412, -27.3745991], [-55.8805389, -27.3744657], [-55.8810485, -27.3745038], [-55.8824057, -27.3740513], [-55.8833686, -27.3737202], [-55.8839668, -27.373332], [-55.8843449, -27.372908], [-55.884766, -27.3722363], [-55.8848787, -27.3713311], [-55.8840526, -27.3681869], [-55.8844066, -27.3656144], [-55.8849645, -27.3643757], [-55.8865524, -27.3620794]]]}"
ed74a21b-c1c3-4178-b2db-1394359cebb8,2,CIRCUITO 2,POSADAS,1706,0,8,49,"{'type': 'Polygon', 'coordinates': [[[-55.9418305, -27.3592826], [-55.9008861, -27.3637945], [-55.900457, -27.3606692], [-55.8865524, -27.3620794], [-55.885614, -27.3619149], [-55.8847615, -27.3611787], [-55.8864781, -27.3613407], [-55.8867356, -27.3611787], [-55.8884522, -27.3601305], [-55.8893105, -27.3590443], [-55.8898362, -27.3585583], [-55.8906409, -27.3581295], [-55.8906838, -27.3568717], [-55.8907965, -27.3564048], [-55.8912524, -27.3556329], [-55.8921966, -27.3542988], [-55.8925077, -27.3535651], [-55.89313, -27.3530029], [-55.8951578, -27.3519832], [-55.8960107, -27.3517998], [-55.8969603, -27.3516831], [-55.8986876, -27.3516403], [-55.9020135, -27.3514783], [-55.9056292, -27.3518022], [-55.9056292, -27.3521738], [-55.9052966, -27.3523358], [-55.9039877, -27.3527742], [-55.9030864, -27.3535175], [-55.9033653, -27.3542417], [-55.9037945, -27.3549468], [-55.9044168, -27.3555853], [-55.9051034, -27.3561475], [-55.9064981, -27.3559379], [-55.907335, -27.3559188], [-55.9081987, -27.3566049], [-55.9086332, -27.3573672], [-55.9093895, -27.3585107], [-55.9100038, -27.3592158], [-55.9104464, -27.3592349], [-55.9109882, -27.3589442], [-55.9110579, -27.3580056], [-55.9110096, -27.3571432], [-55.9107468, -27.3563571], [-55.9104356, -27.3560141], [-55.9098455, -27.3554995], [-55.9099957, -27.3546991], [-55.9106904, -27.3543846], [-55.9108232, -27.3539796], [-55.9109989, -27.3539939], [-55.9111142, -27.3540416], [-55.9111866, -27.3543942], [-55.9131071, -27.3541654], [-55.9130427, -27.353708], [-55.9152019, -27.3534484], [-55.915387, -27.3541797], [-55.9167013, -27.3540797], [-55.916594, -27.3534223], [-55.9174738, -27.3535462], [-55.9176186, -27.3537606], [-55.9178493, -27.3538416], [-55.9184903, -27.353844], [-55.9190348, -27.3540655], [-55.9198985, -27.3538988], [-55.9207031, -27.3541656], [-55.9220871, -27.3538035], [-55.9230206, -27.3539559], [-55.9234873, -27.3553686], [-55.9234175, -27.355714], [-55.9236803, -27.3558784], [-55.9238359, -27.3557188], [-55.9239378, -27.3548754], [-55.9242329, -27.3539082], [-55.925633, -27.3533126], [-55.9264216, -27.3534317], [-55.9271619, -27.3535175], [-55.9276447, -27.3538319], [-55.9282884, -27.3544704], [-55.9284064, -27.3548515], [-55.9288329, -27.3548968], [-55.9291736, -27.3544466], [-55.9291897, -27.3537557], [-55.9296725, -27.3535937], [-55.9303162, -27.3537461], [-55.9308365, -27.3532411], [-55.9328481, -27.352879], [-55.9340069, -27.3532125], [-55.9346399, -27.3526598], [-55.9358308, -27.3522596], [-55.9378693, -27.3534793], [-55.9378156, -27.3542035], [-55.9386847, -27.3545085], [-55.9398756, -27.3536699], [-55.9412381, -27.3530982], [-55.9429547, -27.3530982], [-55.9432456, -27.354418], [-55.942447, -27.3561833], [-55.9407172, -27.3572375], [-55.9408823, -27.3582982], [-55.941394, -27.3587761], [-55.9418305, -27.3592826]]]}"
08ac4e7a-a785-4dff-b3ee-5e5dc9faf1e1,3,CIRCUITO 3,POSADAS,17449,0,8,50,"{'type': 'Polygon', 'coordinates': [[[-55.9270807, -27.360982], [-55.9289261, -27.3743593], [-55.9027906, -27.3772746], [-55.9008861, -27.3637945], [-55.9144342, -27.3624079], [-55.9270807, -27.360982]]]}"
4cf0ae85-7be3-4733-99d8-3f292771452b,3A,CIRCUITO 3A,POSADAS,19687,0,8,57,"{'type': 'Polygon', 'coordinates': [[[-55.92729, -27.3611243], [-55.9417204, -27.3593167], [-55.9416975, -27.3625799], [-55.9435428, -27.3623893], [-55.9458603, -27.3598738], [-55.9457315, -27.3590734], [-55.948521, -27.3588447], [-55.9490789, -27.3603312], [-55.9491648, -27.3585398], [-55.9513534, -27.3589972], [-55.9528555, -27.3585779], [-55.9540142, -27.3597976], [-55.9554733, -27.3601787], [-55.9562458, -27.3593402], [-55.9579624, -27.360598], [-55.9583486, -27.3613221], [-55.9574474, -27.3630754], [-55.9562458, -27.3631897], [-55.9574474, -27.3639901], [-55.9560741, -27.3647524], [-55.9544004, -27.371765], [-55.9289516, -27.3746232], [-55.92729, -27.3611243]]]}"
cd424eb4-5270-4724-81a5-5f15ef3c51db,4,CIRCUITO 4,POSADAS,65669,0,27,188,"{'type': 'Polygon', 'coordinates': [[[-55.9022165, -27.3739322], [-55.9027906, -27.3772746], [-55.9541419, -27.372022], [-55.9530654, -27.3732959], [-55.952654, -27.3746556], [-55.952189, -27.3761011], [-55.9520244, -27.3774512], [-55.953332, -27.3781241], [-55.953513, -27.3787302], [-55.9532099, -27.379047], [-55.9538912, -27.380538], [-55.9537088, -27.3811191], [-55.9536016, -27.3823005], [-55.9527151, -27.383789], [-55.9521935, -27.3843821], [-55.9505707, -27.3860635], [-55.9501039, -27.38714], [-55.9504365, -27.3905693], [-55.9504526, -27.3926555], [-55.9502542, -27.3942845], [-55.9504473, -27.3949513], [-55.9472286, -27.3966087], [-55.9506833, -27.3950657], [-55.9548998, -27.3947894], [-55.9554684, -27.3953895], [-55.9564328, -27.3985882], [-55.902866, -27.4050948], [-55.8986174, -27.3741921], [-55.9022165, -27.3739322]]]}"
0ae980cf-c56e-415e-8df9-ea74a48a57a3,4A,CIRCUITO 4A,POSADAS,35521,0,15,102,"{'type': 'Polygon', 'coordinates': [[[-55.9706854, -27.4700606], [-55.9680246, -27.4685375], [-55.9656214, -27.4681567], [-55.9623598, -27.4647297], [-55.9481978, -27.4535341], [-55.930431, -27.4587894], [-55.9145524, -27.4556667], [-55.9088877, -27.4513254], [-55.9038773, -27.4385763], [-55.9029707, -27.4383883], [-55.9024504, -27.4379146], [-55.9022036, -27.4375384], [-55.8990756, -27.4312485], [-55.9032812, -27.4282776], [-55.895385, -27.4261443], [-55.897545, -27.4239202], [-55.8999678, -27.4208341], [-55.9008176, -27.420982], [-55.901469, -27.4208013], [-55.9021815, -27.4202971], [-55.9039929, -27.4208696], [-55.9049308, -27.4220249], [-55.9045054, -27.4248516], [-55.9031233, -27.4266078], [-55.9017027, -27.4277335], [-55.9041015, -27.4285163], [-55.905567, -27.4285135], [-55.9080624, -27.4276727], [-55.9100277, -27.4242769], [-55.9093663, -27.4218278], [-55.9078302, -27.4187861], [-55.9004521, -27.4179714], [-55.9031236, -27.404409], [-55.9209897, -27.4028351], [-55.9302515, -27.4182013], [-55.9346152, -27.4258079], [-55.9406747, -27.4325763], [-55.9544697, -27.4435602], [-55.9707568, -27.4535524], [-55.9706854, -27.4700606]]]}"
56ade9ca-05a4-4291-a0a7-e185149c33af,4B,CIRCUITO 4B,POSADAS,354,0,2,11,"{'type': 'Polygon', 'coordinates': [[[-55.8952131, -27.4264492], [-55.9032812, -27.4282776], [-55.898818, -27.4319343], [-55.9015646, -27.4362003], [-55.9007062, -27.4392473], [-55.9044828, -27.4397043], [-55.9095464, -27.4528048], [-55.900813, -27.4514343], [-55.8951696, -27.4538717], [-55.8897199, -27.4470168], [-55.879164, -27.4505208], [-55.8735419, -27.4569947], [-55.8631124, -27.4637728], [-55.8627691, -27.4544812], [-55.8831968, -27.4378761], [-55.8952131, -27.4264492]]]}"
8c03c919-5a41-4fac-b332-9b87d3c70c97,5,CIRCUITO 5,POSADAS,17473,0,8,50,"{'type': 'Polygon', 'coordinates': [[[-55.8986174, -27.3741921], [-55.902866, -27.4050948], [-55.9017074, -27.4117617], [-55.9004627, -27.4178001], [-55.9001087, -27.4175763], [-55.8999263, -27.4173906], [-55.8981453, -27.4175239], [-55.8976733, -27.417293], [-55.8972441, -27.4168525], [-55.8969222, -27.4162287], [-55.8972656, -27.4156858], [-55.8975875, -27.4143906], [-55.8977645, -27.4129049], [-55.8975767, -27.4116286], [-55.8969812, -27.4108429], [-55.8955918, -27.4096761], [-55.8951197, -27.4083712], [-55.8949748, -27.4078355], [-55.8940146, -27.4066711], [-55.8937679, -27.4059425], [-55.8929954, -27.4051329], [-55.8923678, -27.4048091], [-55.8912252, -27.4045804], [-55.8916115, -27.401636], [-55.8914506, -27.401149], [-55.8922016, -27.3971079], [-55.8922874, -27.3952934], [-55.8921022, -27.3940288], [-55.891724, -27.3927833], [-55.8906241, -27.390778], [-55.8886862, -27.3885489], [-55.8884327, -27.388587], [-55.8862092, -27.3857005], [-55.8855387, -27.3853956], [-55.88541, -27.3847241], [-55.8845946, -27.3830426], [-55.8838116, -27.3808611], [-55.8833603, -27.379733], [-55.8831992, -27.3795844], [-55.8826733, -27.3796644], [-55.882469, -27.3793385], [-55.8826081, -27.3790984], [-55.8833802, -27.3787725], [-55.8832937, -27.378559], [-55.8820906, -27.3771269], [-55.8804799, -27.3762664], [-55.8986174, -27.3741921]]]}"
dd70e3ac-2bf3-42ff-8eea-5768062afe16,6,CIRCUITO 6,VILLA LANUS,10281,0,5,30,"{'type': 'Polygon', 'coordinates': [[[-55.8703493, -27.4283895], [-55.8873008, -27.4118947], [-55.8896612, -27.4129804], [-55.8879875, -27.4156281], [-55.888245, -27.4185424], [-55.8903907, -27.4210757], [-55.8951543, -27.4209615], [-55.8996605, -27.4212281], [-55.8968929, -27.4249993], [-55.8921509, -27.4280085], [-55.8834385, -27.4369215], [-55.8703493, -27.4283895]]]}"
5542ae26-aba7-45e0-9932-1d13c0ab410e,7,CIRCUITO 7,ITAEMBE MINI,28043,0,12,81,"{'type': 'Polygon', 'coordinates': [[[-55.921436, -27.4025471], [-55.9605954, -27.3982264], [-55.9644332, -27.4004288], [-55.9680137, -27.4028597], [-55.9747459, -27.4079498], [-55.9884697, -27.4179765], [-55.9498459, -27.4281854], [-55.9424645, -27.4344322], [-55.9362836, -27.4275184], [-55.9340089, -27.4252423], [-55.9310476, -27.4202996], [-55.921436, -27.4025471]]]}"
