id,nombre,direccion,circuitoCodigo,lat,lng,coverageEstado,coverageCriticas,coverageParciales,coverageOptimas
253984d9-5a33-4f54-a708-6e493eeff811,BACHIL. ACEL.ADULTOS Y COMUN,SEBASTOPOL 3065,4,-27.3774799,-55.9048322,critico,7,0,0
d004e554-f78d-4a1c-8115-a9c4fe23ceda,Bachillerato Humanista,AV CORRIENTES 2348,3,-27.3711064,-55.9020634,critico,8,0,0
6e9021de-0530-425d-a547-4ba59a398f6e,Bachillerato Orientación Laboral Polivalente Nº1,AV RADEMACHER 4200,5,-27.3873195,-55.8963279,critico,7,0,0
dfa58d81-5763-4185-8734-4f884e2ce917,BACHIL. POLIV. NRO 17,AV. COMANDANTE,4,-27.3935377,-55.9394842,critico,8,0,0
589048b8-4265-4271-be50-2490d43f665b,BOLP N°36,MADELAIRE Y OBERA B.,7,-27.4104672,-55.9291548,critico,5,0,0
c77d2420-2779-485c-aae7-0291e6aa8979,BOP 61,BOP N 61 LAS TUNAS Y,7A,-27.4027148,-55.9829594,critico,6,0,0
689d84cd-ae40-44d3-a6ea-0998f77c46a0,B.O.P. Nº85,AV. 192 (ENTRE 81 CY 81,4A,-27.4372791,-55.9388155,critico,7,0,0
a3c84d82-1229-410c-9370-bec674c24451,C.E.N.S. Nº 176,Gomez Portiño 5170- Ch. 32-33,4,-27.3951885,-55.9067967,critico,5,0,0
ddf8c7d5-7fe0-4530-8d95-197d5851f44e,Centro Educativo Polimodal Nº1,AGUADO ( ENTRE,4,-27.3799259,-55.9268335,critico,8,0,0
db709911-7e57-47e7-8396-b6c7dc330aa5,Centro Educativo Polimodal Nº 5,AV COCOMAROLA Y J. M.,4A,-27.4374898,-55.9150981,critico,7,0,0
8ecdf715-2ead-4eae-95b6-1d3eb24725dc,CEP N° 25 B° RINCON DEL SUR,CALLE 188 Y 121 S/N,7,-27.4298579,-55.9488348,critico,6,0,0
5675dcef-81a1-4ed1-9e23-b985cb8f42fd,COLEGIO DEL CARMEN,AV SANTA CATALINA Y,3,-27.3745681,-55.9100967,critico,4,0,0
70ce5ba4-1ea2-4121-85c9-433f6028e8d7,"Colegio Provincial N° 2 "" Gral. Manuel Belgrano""",CALLE 164 ENTRE 155 Y,7,-27.4104846,-55.959037,critico,7,0,0
495aa529-22db-4f98-8fb8-6c4e0dfd353e,EPET N 1 UNESCO,Av. Gral. Lavalle 1947,3,-27.3672912,-55.9049019,critico,8,0,0
cf6c5922-0287-4a98-85f7-2402ae91ffa1,E.P.E.T N°36,CALLE 133 Y 176 s/n,7,-27.4192591,-55.9493145,critico,7,0,0
